@relation dataset_preprocessed-weka.filters.unsupervised.attribute.NumericToNominal-R2_clustered

@attribute Instance_number numeric
@attribute CdS {CdS1,CdS2,CdS3}
@attribute Coorte {2010,2011,2012,2013,2014,2015,2016}
@attribute Genere {M,F}
@attribute Voto_test numeric
@attribute Crediti_convoto numeric
@attribute Crediti_totali numeric
@attribute Voto_medio numeric
@attribute Scuola_provenienza {LC,LS,TC,IT,Altro,IP}
@attribute Esame_Matematica {EsameMatematica,'Non superato'}
@attribute Voto_Matematica numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
126,CdS3,2010,F,1.195776,0.92762,0.861364,0.10606,LS,EsameMatematica,0.747809,cluster1
127,CdS3,2010,F,-0.611051,-1.65322,-1.584738,-2.603863,LS,'Non superato',-1.822323,cluster3
128,CdS3,2010,F,-1.514464,-1.65322,-1.584738,-2.603863,LS,'Non superato',-1.822323,cluster3
129,CdS3,2010,F,0.518216,-0.040195,-0.055924,0.223882,LS,EsameMatematica,0.013485,cluster0
130,CdS3,2010,F,0.066509,-0.040195,-0.055924,-0.483054,LS,EsameMatematica,-0.170095,cluster2
131,CdS3,2010,F,-0.836904,0.443713,0.249839,0.577351,LS,EsameMatematica,0.472438,cluster0
132,CdS3,2010,F,0.744069,-0.846707,-0.820331,-0.129586,LS,EsameMatematica,0.105276,cluster2
133,CdS3,2010,F,-0.611051,-1.65322,-1.431856,-2.603863,LC,EsameMatematica,0.197066,cluster2
134,CdS3,2010,M,1.421629,0.92762,0.861364,0.223882,LS,EsameMatematica,0.747809,cluster1
135,CdS3,2010,F,-0.159344,-0.846707,-0.820331,0.10606,LC,EsameMatematica,0.288857,cluster2
136,CdS3,2010,M,1.421629,-0.846707,-0.361687,0.695173,LS,EsameMatematica,0.747809,cluster2
137,CdS3,2010,F,0.518216,0.92762,0.861364,0.223882,LC,EsameMatematica,0.747809,cluster1
138,CdS3,2010,M,0.744069,-0.3628,-0.361687,-0.365231,LS,EsameMatematica,0.013485,cluster2
139,CdS3,2010,F,-0.159344,-0.685405,-0.616489,-0.365231,LS,EsameMatematica,-0.078305,cluster2
140,CdS3,2010,F,-0.159344,-0.685405,-0.616489,-0.365231,LS,EsameMatematica,-0.078305,cluster2
141,CdS3,2010,M,0.969922,-0.040195,-0.055924,0.10606,LS,EsameMatematica,0.564228,cluster0
142,CdS3,2010,M,0.066509,1.411528,1.320008,0.695173,LS,EsameMatematica,1.02318,cluster1
143,CdS3,2010,F,-1.740318,-0.040195,-0.055924,0.223882,LS,EsameMatematica,0.380647,cluster2
144,CdS3,2010,F,-0.159344,-0.846707,-0.973212,-0.483054,LS,EsameMatematica,-0.170095,cluster2
145,CdS3,2010,F,0.969922,0.92762,0.861364,0.341705,LS,EsameMatematica,1.02318,cluster1
146,CdS3,2010,F,-1.514464,-0.846707,-0.973212,-0.129586,LS,EsameMatematica,0.105276,cluster2
147,CdS3,2010,F,0.292362,-0.846707,-0.820331,-0.365231,LC,EsameMatematica,-0.078305,cluster2
148,CdS3,2010,M,0.066509,-0.040195,-0.055924,-0.011763,LS,EsameMatematica,0.472438,cluster0
149,CdS3,2010,F,0.518216,0.443713,0.40272,0.459528,LS,EsameMatematica,0.747809,cluster0
150,CdS3,2010,F,-0.611051,-0.846707,-0.820331,-0.483054,LS,EsameMatematica,-0.170095,cluster2
151,CdS3,2010,F,-1.062758,-0.040195,1.167127,0.577351,LC,EsameMatematica,0.747809,cluster0
152,CdS3,2010,F,0.066509,-1.65322,-1.584738,-2.603863,IT,'Non superato',-1.822323,cluster3
153,CdS3,2010,M,-0.159344,-0.846707,-0.820331,0.223882,LS,EsameMatematica,0.380647,cluster2
154,CdS3,2010,F,-1.288611,-1.65322,-1.584738,-2.603863,TC,'Non superato',-1.822323,cluster3
155,CdS3,2010,F,-0.159344,-0.846707,-0.820331,-0.365231,TC,EsameMatematica,-0.078305,cluster2
156,CdS3,2010,F,-0.836904,-1.65322,-1.584738,-2.603863,IT,'Non superato',-1.822323,cluster3
157,CdS3,2010,F,0.066509,-0.846707,0.40272,0.10606,LS,EsameMatematica,0.288857,cluster2
158,CdS3,2010,F,0.518216,-0.3628,-0.361687,0.223882,LS,EsameMatematica,0.656018,cluster0
159,CdS3,2010,F,1.421629,-0.040195,-0.208806,0.223882,LS,EsameMatematica,0.472438,cluster0
160,CdS3,2010,M,-1.288611,-0.846707,-0.973212,-0.483054,LS,EsameMatematica,-0.170095,cluster2
161,CdS3,2010,M,0.969922,-0.040195,-0.055924,0.577351,LS,EsameMatematica,0.564228,cluster0
162,CdS3,2010,M,-0.836904,-1.65322,-1.431856,-2.603863,LS,'Non superato',-1.822323,cluster3
163,CdS1,2011,M,0.114358,-0.524102,-0.66745,-0.129586,LS,EsameMatematica,0.105276,cluster2
164,CdS1,2011,M,0.547575,1.411528,1.320008,0.341705,LS,EsameMatematica,0.564228,cluster1
165,CdS1,2011,M,-0.535466,1.411528,1.320008,0.223882,LC,EsameMatematica,0.839599,cluster1
166,CdS1,2011,F,0.980791,0.766318,0.708483,0.459528,LS,EsameMatematica,0.93139,cluster1
167,CdS1,2011,F,-1.185291,-0.040195,-0.055924,0.223882,Altro,EsameMatematica,0.656018,cluster0
168,CdS1,2011,M,-0.318858,0.766318,3.001703,0.695173,IT,EsameMatematica,0.93139,cluster1
169,CdS1,2011,F,0.330967,0.766318,0.708483,0.341705,LS,EsameMatematica,0.380647,cluster0
170,CdS1,2011,M,0.980791,1.411528,1.320008,0.812996,LS,EsameMatematica,0.93139,cluster1
171,CdS1,2011,M,0.980791,1.411528,1.320008,0.812996,LS,EsameMatematica,0.839599,cluster1
172,CdS1,2011,M,-0.535466,0.766318,0.555601,0.577351,LS,EsameMatematica,1.02318,cluster0
173,CdS1,2011,M,0.114358,1.411528,1.320008,0.459528,IT,EsameMatematica,0.93139,cluster1
174,CdS1,2011,M,1.197399,1.411528,1.320008,0.930819,LS,EsameMatematica,0.839599,cluster1
175,CdS1,2011,F,-0.10225,0.443713,0.40272,0.459528,LS,EsameMatematica,0.380647,cluster0
176,CdS1,2011,M,1.414008,1.411528,1.320008,1.048642,LS,EsameMatematica,1.02318,cluster1
177,CdS1,2011,M,-0.318858,-0.201497,-0.208806,-0.011763,IT,EsameMatematica,0.105276,cluster2
178,CdS1,2011,M,1.197399,0.443713,0.40272,0.695173,IT,EsameMatematica,0.93139,cluster1
179,CdS1,2011,M,-0.318858,-0.3628,-0.361687,-0.247409,LS,EsameMatematica,-0.170095,cluster2
180,CdS1,2011,M,0.764183,-1.00801,-0.973212,-0.247409,LS,EsameMatematica,0.013485,cluster2
181,CdS1,2011,F,-1.618507,-0.685405,-0.820331,-0.129586,LS,EsameMatematica,-0.078305,cluster2
182,CdS1,2011,F,-0.535466,1.411528,1.320008,0.341705,Altro,EsameMatematica,0.380647,cluster1
183,CdS1,2011,M,1.197399,1.088923,1.014245,0.223882,LS,EsameMatematica,0.564228,cluster1
184,CdS1,2011,F,0.764183,0.766318,0.708483,0.459528,LS,EsameMatematica,0.839599,cluster1
185,CdS1,2011,M,1.197399,1.411528,1.167127,0.459528,LS,EsameMatematica,1.02318,cluster1
186,CdS1,2011,M,1.630616,1.411528,1.320008,0.695173,LS,EsameMatematica,1.02318,cluster1
187,CdS1,2011,F,1.414008,1.411528,1.320008,0.812996,LC,EsameMatematica,1.02318,cluster1
188,CdS1,2011,F,1.630616,0.766318,0.708483,0.695173,LS,EsameMatematica,0.656018,cluster1
189,CdS1,2011,M,-0.10225,1.411528,1.320008,0.223882,LS,EsameMatematica,0.197066,cluster1
190,CdS1,2011,M,0.330967,0.766318,0.555601,0.341705,LS,EsameMatematica,0.93139,cluster1
191,CdS1,2011,M,-1.185291,-1.00801,-1.126094,0.459528,LS,EsameMatematica,0.288857,cluster2
