CdS,Coorte,Genere,Voto_test,Crediti_convoto,Crediti_totali,Voto_medio,Scuola_provenienza,Esame_Matematica,Voto_Matematica,Crediti_Matematica
CdS1,2013,M,25.00,45,48,26,LS,EsameMatematica,26,12
CdS1,2013,F,19.00,57,57,27,LS,EsameMatematica,26,12
CdS1,2013,M,21.00,57,60,23,LS,EsameMatematica,21,12
CdS1,2013,M,19.00,30,30,23,LS,EsameMatematica,23,12
CdS1,2013,F,19.00,57,57,24,LS,EsameMatematica,20,12
CdS1,2013,M,24.00,6,6,21,LS,,,
CdS1,2013,M,24.00,39,42,25,LS,EsameMatematica,28,12
CdS1,2013,M,20.00,36,42,26,LS,EsameMatematica,28,12
CdS1,2013,M,22.00,45,45,26,LS,EsameMatematica,25,12
CdS1,2013,F,18.00,27,27,22,XX,EsameMatematica,23,12
CdS1,2013,F,20.00,45,48,23,LC,EsameMatematica,25,12
CdS1,2013,M,22.00,27,30,25,LS,EsameMatematica,28,12
CdS1,2013,M,19.00,27,30,23,LS,EsameMatematica,25,12
CdS1,2013,M,16.00,42,60,24,LC,EsameMatematica,20,12
CdS1,2013,M,17.00,51,54,23,LS,EsameMatematica,20,12
CdS1,2013,M,24.00,51,54,29,LS,EsameMatematica,27,12
CdS1,2013,M,17.00,57,60,24,IT,EsameMatematica,27,12
CdS1,2013,M,22.00,57,57,27,LC,EsameMatematica,25,12
CdS1,2013,M,22.00,51,54,25,LS,EsameMatematica,28,12
CdS1,2013,F,24.00,9,18,25,IT,EsameMatematica,27,12
CdS1,2013,M,18.00,18,21,23,LS,EsameMatematica,23,12
CdS1,2013,M,17.00,30,30,21,IT,EsameMatematica,19,12
CdS1,2013,M,9.00,12,12,27,LC,EsameMatematica,27,12
CdS1,2014,F,22.00,21,21,21,LS,EsameMatematica,20,12
CdS1,2014,F,19.00,15,18,26,LS,EsameMatematica,24,12
CdS1,2014,M,25.00,57,60,30,LS,EsameMatematica,31,12
CdS1,2014,M,25.00,57,60,27,LS,EsameMatematica,27,12
CdS1,2014,M,25.00,57,60,29,LS,EsameMatematica,27,12
CdS1,2014,M,17.00,24,24,23,LS,,,
CdS1,2014,M,22.00,42,42,23,LS,EsameMatematica,22,12
CdS1,2014,M,24.00,27,30,25,LS,EsameMatematica,23,12
CdS1,2014,M,16.00,0,6,0,LS,,,
CdS1,2014,F,23.00,57,60,27,LS,EsameMatematica,27,12
CdS1,2014,M,25.00,57,60,28,LS,EsameMatematica,27,12
CdS1,2014,F,23.00,57,60,30,LS,EsameMatematica,30,12
CdS1,2014,F,24.00,51,51,24,LC,EsameMatematica,19,12
CdS1,2014,M,24.00,57,60,27,LS,EsameMatematica,24,12
CdS1,2014,F,23.00,45,48,27,LS,EsameMatematica,26,12
CdS1,2014,F,22.00,45,45,25,LS,EsameMatematica,27,12
CdS1,2014,M,23.00,15,15,26,AL,EsameMatematica,28,12
CdS1,2014,M,20.00,57,60,26,LS,EsameMatematica,24,12
CdS1,2014,M,22.00,57,60,28,LS,EsameMatematica,28,12
CdS1,2014,M,22.00,51,51,23,LS,EsameMatematica,23,12
CdS1,2014,M,15.00,21,31,21,TC,EsameMatematica,23,12
CdS1,2014,M,19.00,27,30,20,LS,EsameMatematica,18,12
CdS1,2014,M,12.00,39,42,25,TC,EsameMatematica,25,12
CdS1,2014,F,23.00,51,54,26,LS,EsameMatematica,26,12
CdS1,2014,F,14.00,9,9,20,LS,,,
CdS1,2014,F,13.00,0,3,0,IT,,,
CdS1,2014,M,20.00,45,45,24,LS,EsameMatematica,25,12
CdS1,2014,M,21.00,57,60,27,LS,EsameMatematica,27,12
CdS1,2014,M,22.00,33,33,21,LS,EsameMatematica,18,12
CdS1,2014,M,18.00,45,48,24,LS,EsameMatematica,22,12
CdS1,2014,M,25.00,57,60,30,LS,EsameMatematica,31,12
CdS1,2014,F,23.00,57,60,25,LS,EsameMatematica,20,12
CdS1,2014,M,19.00,18,18,24,LS,EsameMatematica,24,12
CdS1,2014,F,19.00,18,21,22,LS,EsameMatematica,20,12
CdS1,2014,F,11.00,9,9,21,AL,EsameMatematica,18,12
CdS1,2014,M,18.00,33,33,21,LS,EsameMatematica,18,12
CdS1,2014,M,21.00,6,6,28,IT,,,
CdS1,2014,M,11.00,18,21,25,LC,EsameMatematica,26,12
CdS1,2014,M,19.00,39,42,28,IT,EsameMatematica,30,12
CdS1,2014,F,16.00,18,42,19,TC,EsameMatematica,18,12
CdS1,2014,M,12.00,0,6,0,LS,,,
CdS1,2014,M,21.00,21,21,22,LS,EsameMatematica,24,12
CdS1,2014,M,19.00,0,12,0,LS,EsameMatematica,0,12
CdS1,2014,M,20.00,9,9,24,LS,EsameMatematica,18,12
CdS1,2014,F,22.00,27,30,22,LC,EsameMatematica,23,12
CdS1,2014,M,9.00,15,18,21,LC,EsameMatematica,19,12
CdS1,2014,M,18.00,57,60,27,LC,EsameMatematica,28,12
CdS1,2014,M,14.00,33,36,24,IT,EsameMatematica,25,12
CdS1,2014,M,21.00,30,51,23,LS,EsameMatematica,24,12
CdS1,2014,M,22.00,51,57,25,LS,EsameMatematica,27,12
CdS1,2014,M,14.00,6,6,20,LS,,,
CdS1,2014,M,17.00,21,21,22,LS,EsameMatematica,20,12
CdS1,2014,M,20.00,39,39,25,LS,EsameMatematica,27,12
CdS1,2014,M,18.00,39,42,24,IT,EsameMatematica,18,12
CdS1,2014,M,23.00,57,60,25,LS,EsameMatematica,26,12
CdS1,2014,M,22.00,57,60,27,IT,EsameMatematica,28,12
CdS1,2014,M,11.75,0,6,0,LC,,,
CdS1,2014,M,23.00,6,6,28,IT,,,
CdS1,2014,M,14.00,30,30,20,LS,EsameMatematica,19,12
CdS1,2015,M,19.00,6,6,21,LS,,,
CdS1,2015,F,17.00,9,12,22,,EsameMatematica,23,12
CdS1,2015,M,18.00,33,36,22,LS,EsameMatematica,27,12
CdS1,2015,M,16.00,21,24,20,LS,EsameMatematica,22,12
CdS1,2015,F,17.00,0,3,0,LC,,,
CdS1,2015,M,16.00,18,21,21,LS,EsameMatematica,19,12
CdS1,2015,F,17.00,0,3,0,LL,,,
CdS1,2015,F,3.00,0,3,0,LL,,,
CdS1,2015,F,21.00,12,15,20,LS,EsameMatematica,20,12
CdS1,2015,M,19.00,18,18,21,LS,EsameMatematica,20,12
CdS1,2015,M,17.00,33,33,24,IT,EsameMatematica,20,12
CdS1,2015,M,24.00,45,48,26,LS,EsameMatematica,26,12
CdS1,2015,F,21.00,45,48,25,LS,EsameMatematica,23,12
CdS1,2015,F,20.00,21,24,23,LS,EsameMatematica,18,12
CdS1,2015,M,23.00,57,60,28,LS,EsameMatematica,28,12
CdS1,2015,M,21.00,33,36,23,LS,EsameMatematica,23,12
CdS1,2015,M,8.00,0,3,0,LS,,,
CdS1,2015,F,16.00,15,18,22,LC,EsameMatematica,19,12
CdS1,2015,F,20.00,27,30,23,LS,EsameMatematica,24,12
CdS1,2015,M,17.00,27,30,23,LS,EsameMatematica,23,12
CdS1,2015,M,23.00,45,48,24,LS,EsameMatematica,26,12
CdS1,2015,F,13.00,0,3,0,AL,EsameMatematica,19,12
CdS1,2015,F,15.00,33,36,23,LS,EsameMatematica,21,12
CdS1,2015,F,22.00,30,33,22,LS,EsameMatematica,21,12
