@relation dataset_preprocessed-weka.filters.unsupervised.attribute.NumericToNominal-R2

@attribute CdS {CdS1,CdS2,CdS3}
@attribute Coorte {2010,2011,2012,2013,2014,2015,2016}
@attribute Genere {M,F}
@attribute Voto_test numeric
@attribute Crediti_convoto numeric
@attribute Crediti_totali numeric
@attribute Voto_medio numeric
@attribute Scuola_provenienza {LC,LS,TC,IT,Altro,IP}
@attribute Esame_Matematica {EsameMatematica,'Non superato'}
@attribute Voto_Matematica numeric

@data
CdS1,2012,M,0.842105,12,15,29,LS,EsameMatematica,24
CdS1,2012,M,0.789474,18,21,22,LS,EsameMatematica,22
CdS1,2012,M,0.789474,27,30,21,LS,EsameMatematica,18
CdS1,2012,F,0.421053,57,60,26,LC,EsameMatematica,26
CdS1,2012,M,0.842105,57,60,27,LS,EsameMatematica,30
CdS1,2012,M,0.631579,39,39,22,LS,'Non superato',0
CdS1,2012,F,0.578947,33,33,21,LS,EsameMatematica,23
CdS1,2012,M,1,63,66,31,LS,EsameMatematica,31
CdS1,2012,M,0.789474,57,60,25,LS,EsameMatematica,25
CdS1,2012,M,0.894737,57,60,29,LS,EsameMatematica,28
CdS1,2012,F,0.631579,33,36,24,LS,EsameMatematica,24
CdS1,2012,M,0.473684,45,81,23,LS,EsameMatematica,22
CdS1,2012,M,0.736842,57,60,28,LS,EsameMatematica,26
CdS1,2012,M,0.842105,57,60,30,LS,EsameMatematica,31
CdS1,2012,M,0.315789,18,21,21,LS,'Non superato',0
CdS1,2012,M,0.789474,57,60,29,LS,EsameMatematica,31
CdS1,2012,M,0.789474,57,57,27,LC,EsameMatematica,27
CdS1,2012,M,0.368421,39,42,22,LS,EsameMatematica,19
CdS1,2012,M,0.157895,36,72,23,LS,EsameMatematica,24
CdS1,2012,M,0.578947,51,54,23,LS,EsameMatematica,20
CdS1,2012,M,0.473684,45,45,22,LS,EsameMatematica,24
CdS1,2012,F,0.368421,45,48,25,LS,EsameMatematica,24
CdS1,2012,M,0.263158,48,48,26,IT,EsameMatematica,27
CdS1,2012,M,0.947368,57,60,30,LS,EsameMatematica,28
CdS1,2012,M,0.421053,33,87,25,IT,EsameMatematica,23
CdS1,2012,F,0.631579,57,60,26,LS,EsameMatematica,27
CdS1,2012,F,0.684211,24,27,24,LS,EsameMatematica,23
CdS1,2012,M,0.894737,63,66,29,LS,EsameMatematica,27
CdS1,2012,F,0.631579,24,24,22,Altro,'Non superato',0
CdS1,2012,M,0.736842,57,60,23,LS,EsameMatematica,24
CdS1,2012,F,0.736842,57,60,27,LS,EsameMatematica,27
CdS1,2012,M,0.789474,57,60,28,LS,EsameMatematica,26
CdS1,2012,M,0.368421,6,12,28,LS,'Non superato',0
CdS1,2012,M,0.578947,24,24,22,LS,EsameMatematica,22
CdS1,2012,F,0.578947,39,42,27,LC,EsameMatematica,25
CdS1,2012,M,0.421053,27,27,24,LS,EsameMatematica,27
CdS1,2012,F,0.473684,57,60,25,Altro,EsameMatematica,24
CdS1,2012,M,0.789474,57,57,26,LC,EsameMatematica,31
CdS1,2012,F,0.315789,0,3,0,IT,'Non superato',0
CdS1,2012,M,0.736842,57,60,26,LS,EsameMatematica,28
CdS1,2012,M,0.684211,57,60,28,LS,EsameMatematica,30
CdS1,2012,M,0.842105,57,60,29,LS,EsameMatematica,27
CdS1,2012,M,0.947368,57,60,29,LS,EsameMatematica,27
CdS1,2012,F,0.894737,57,60,26,LS,EsameMatematica,29
CdS1,2012,M,0.789474,39,42,22,LS,EsameMatematica,20
CdS1,2012,M,0.736842,51,54,26,LS,EsameMatematica,27
CdS1,2012,M,1,12,12,26,IT,EsameMatematica,26
CdS1,2012,M,0.421053,39,42,24,IT,EsameMatematica,25
CdS1,2012,F,0.789474,45,48,25,LS,EsameMatematica,26
CdS1,2012,F,0.631579,21,24,24,LS,EsameMatematica,28
CdS1,2012,M,0.842105,69,123,28,LS,EsameMatematica,25
CdS1,2012,M,0.842105,69,123,28,LS,EsameMatematica,25
CdS1,2012,M,0.789474,33,33,26,LS,EsameMatematica,26
CdS1,2012,M,1,6,9,29,LC,'Non superato',0
CdS1,2012,M,0.631579,30,57,23,LS,EsameMatematica,20
CdS2,2012,M,0.631579,21,36,21,IT,EsameMatematica,23
CdS2,2012,M,0.210526,36,39,25,Altro,EsameMatematica,21
CdS2,2012,M,0.473684,36,9,24,LS,EsameMatematica,24
CdS2,2012,M,0.526316,36,45,24,LS,EsameMatematica,24
CdS2,2012,M,0.052632,0,3,0,Altro,'Non superato',0
CdS2,2012,M,0.526316,57,60,28,Altro,EsameMatematica,24
CdS2,2012,M,0.526316,57,60,27,IT,EsameMatematica,28
CdS2,2012,F,0.263158,24,27,24,Altro,EsameMatematica,20
